Profile Summary
Generated on: 2021-04-28 05:37:49
Msec since Epoch: 1619588269988
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,116.03,116.03,116.03,116.03,
clEnqueueMigrateMemObjects,512,79.6364,0.09285,0.15554,0.95546,
clEnqueueTask,256,65.808,0.22656,0.257063,1.06064,
clReleaseMemObject,1548,58.1421,0.02074,0.0375595,0.65558,
clReleaseEvent,2042,47.506,0.01991,0.0232644,0.65502,
clRetainMemObject,1536,42.7442,0.02072,0.0278283,0.6686,
clRetainEvent,1274,32.4407,0.02005,0.0254637,0.79201,
clSetKernelArg,768,18.8447,0.02067,0.0245374,0.26644,
clCreateBuffer,12,18.0579,0.42447,1.50483,11.311,
clCreateContext,1,12.4016,12.4016,12.4016,12.4016,
clReleaseProgram,1,9.19836,9.19836,9.19836,9.19836,
clCreateKernel,2,7.54766,3.67619,3.77383,3.87147,
clFinish,4,1.89564,0.03449,0.47391,1.61252,
clEnqueueMapBuffer,12,1.3503,0.05445,0.112525,0.71749,
clReleaseKernel,2,1.00994,0.44153,0.50497,0.56841,
clGetPlatformIDs,2,0.18419,0.02493,0.092095,0.15926,
clReleaseContext,1,0.15102,0.15102,0.15102,0.15102,
clCreateCommandQueue,4,0.13013,0.02302,0.0325325,0.05626,
clReleaseCommandQueue,4,0.10915,0.02391,0.0272875,0.03686,
clGetDeviceIDs,2,0.05596,0.02163,0.02798,0.03433,
clReleaseDevice,2,0.04923,0.02148,0.024615,0.02775,
clGetPlatformInfo,2,0.04811,0.022,0.024055,0.02611,
clRetainDevice,2,0.04445,0.02084,0.022225,0.02361,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult_fpga,128,279.51,2.1435,2.18367,2.81178,
mmult_fpga,128,279.552,2.14259,2.184,2.73015,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,256,5908.845525,61.550474,532.48,23.069630,0.090116,
context0:1,WRITE,256,9377.582251,97.683148,1064.96,29.072500,0.113564,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187650709708352,mmult_fpga,0,0,edge-0,1009.68,2.81178,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,3,edge-0,794.894,2.73015,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,1,edge-0,684.038,2.68936,1:1:1,1:1:1,
187650709708352,mmult_fpga,0,2,edge-0,764.715,2.56141,1:1:1,1:1:1,
187650709708352,mmult_fpga,0,0,edge-0,603.134,2.50165,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,3,edge-0,1007.98,2.41464,1:1:1,1:1:1,
187650709708352,mmult_fpga,0,2,edge-0,977.8,2.31478,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,1,edge-0,706.608,2.28034,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,3,edge-0,645.4,2.27881,1:1:1,1:1:1,
187650709726384,mmult_fpga,0,3,edge-0,980.162,2.26017,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1621098496,0,3,857.724,0.761720,1064.96,1398.099039,
1614807040,0,1,603.984,0.439950,1064.96,2420.638709,
1611661312,0,0,602.126,0.303400,1064.96,3510.085695,
1617952768,0,2,884.325,0.227430,1064.96,4682.583652,
1621098496,0,3,964.518,0.226260,1064.96,4706.797490,
1614807040,0,1,1024.97,0.211800,1064.96,5028.139754,
1614807040,0,1,804.976,0.197560,1064.96,5390.564892,
1611661312,0,0,945.136,0.195980,1064.96,5434.023880,
1614807040,0,1,690.71,0.188980,1064.96,5635.305323,
1621098496,0,3,971.554,0.184020,1064.96,5787.197044,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1613758464,0,0,721.087,0.213870,532.48,2489.736756,
1616904192,0,1,694.1,0.187730,532.48,2836.413999,
1616904192,0,1,907.483,0.179650,532.48,2963.985527,
1623195648,0,3,747.746,0.168100,532.48,3167.638311,
1613758464,0,0,677.887,0.153470,532.48,3469.603180,
1623195648,0,3,960.921,0.146920,532.48,3624.285325,
1616904192,0,1,978.448,0.145080,532.48,3670.250896,
1623195648,0,3,911.163,0.144890,532.48,3675.063842,
1616904192,0,1,914.619,0.142230,532.48,3743.795261,
1623195648,0,3,918.096,0.135370,532.48,3933.515550,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,457.191040,
CU_CALLS,edge-0|mmult_fpga_1,121,
CU_CALLS,edge-0|mmult_fpga_2,135,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,512,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,1,
MEMORY_USAGE,edge-0|HP2,1,
MEMORY_USAGE,edge-0|HP3,1,
MEMORY_USAGE,edge-0|HPC0,1,
MEMORY_USAGE,edge-0|HPC1,1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_b0,512,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_b1,512,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_b2,512,
PORT_BIT_WIDTH,mmult_fpga_2/m_axi_b0,512,
PORT_BIT_WIDTH,mmult_fpga_2/m_axi_b1,512,
PORT_BIT_WIDTH,mmult_fpga_2/m_axi_b2,512,
KERNEL_COUNT,mmult_fpga,2,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult_fpga,1,
COMMAND_QUEUE_OOO,187650709637792,0,
COMMAND_QUEUE_OOO,187650709643520,0,
COMMAND_QUEUE_OOO,187650709643856,0,
COMMAND_QUEUE_OOO,187650709644176,0,
KERNEL_BUFFER_INFO,mmult_fpga|A|HPC0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|B|HPC0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|C|HPC0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|A|HPC0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|B|HPC0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|C|HPC0|1,532480,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,23.0696,
BUFFER_WR_ACTIVE_TIME_MS,all,29.0725,
BUFFER_TX_ACTIVE_TIME_MS,all,458.478,
APPLICATION_RUN_TIME_MS,all,1204.4,
TOTAL_KERNEL_RUN_TIME_MS,all,457.191,


