Timeline Trace
Generated on: 2021-04-28 05:37:49
Msec since Epoch: 1619588269998
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
132.39157,clGetPlatformIDs|General,START,,,,,,,,,,,0,
132.55083,clGetPlatformIDs|General,END,,,,,,,,,,,0,
132.59824,clGetPlatformIDs|General,START,,,,,,,,,,,1,
132.62317,clGetPlatformIDs|General,END,,,,,,,,,,,1,
132.6535,clGetPlatformInfo|General,START,,,,,,,,,,,2,
132.67961,clGetPlatformInfo|General,END,,,,,,,,,,,2,
132.70148,clGetPlatformInfo|General,START,,,,,,,,,,,3,
132.72348,clGetPlatformInfo|General,END,,,,,,,,,,,3,
132.85009,clGetDeviceIDs|General,START,,,,,,,,,,,4,
132.88442,clGetDeviceIDs|General,END,,,,,,,,,,,4,
132.90711,clGetDeviceIDs|General,START,,,,,,,,,,,5,
132.92874,clGetDeviceIDs|General,END,,,,,,,,,,,5,
132.95431,clRetainDevice|General,START,,,,,,,,,,,6,
132.97792,clRetainDevice|General,END,,,,,,,,,,,6,
132.99926,clRetainDevice|General,START,,,,,,,,,,,7,
133.0201,clRetainDevice|General,END,,,,,,,,,,,7,
133.04451,clCreateContext|General,START,,,,,,,,,,,8,
145.44612,clCreateContext|General,END,,,,,,,,,,,8,
415.93896,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
531.96942,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
532.08404,clCreateCommandQueue|General,START,,,,,,,,,,,10,
532.1403,clCreateCommandQueue|General,END,,,,,,,,,,,10,
532.16292,clCreateCommandQueue|General,START,,,,,,,,,,,11,
532.18908,clCreateCommandQueue|General,END,,,,,,,,,,,11,
532.2108,clCreateCommandQueue|General,START,,,,,,,,,,,12,
532.23549,clCreateCommandQueue|General,END,,,,,,,,,,,12,
532.25747,clCreateCommandQueue|General,START,,,,,,,,,,,13,
532.28049,clCreateCommandQueue|General,END,,,,,,,,,,,13,
532.30848,clCreateKernel|General,START,,,,,,,,,,,14,
536.17995,clCreateKernel|General,END,,,,,,,,,,,14,
536.20539,clCreateKernel|General,START,,,,,,,,,,,15,
539.88158,clCreateKernel|General,END,,,,,,,,,,,15,
539.92597,clCreateBuffer|General,START,,,,,,,,,,,16,
551.23701,clCreateBuffer|General,END,,,,,,,,,,,16,
551.39013,clCreateBuffer|General,START,,,,,,,,,,,17,
552.04005,clCreateBuffer|General,END,,,,,,,,,,,17,
552.06832,clCreateBuffer|General,START,,,,,,,,,,,18,
552.51397,clCreateBuffer|General,END,,,,,,,,,,,18,
552.54063,clCreateBuffer|General,START,,,,,,,,,,,19,
553.40348,clCreateBuffer|General,END,,,,,,,,,,,19,
553.42944,clCreateBuffer|General,START,,,,,,,,,,,20,
553.85391,clCreateBuffer|General,END,,,,,,,,,,,20,
553.87986,clCreateBuffer|General,START,,,,,,,,,,,21,
554.49164,clCreateBuffer|General,END,,,,,,,,,,,21,
554.51849,clCreateBuffer|General,START,,,,,,,,,,,22,
554.95761,clCreateBuffer|General,END,,,,,,,,,,,22,
554.98335,clCreateBuffer|General,START,,,,,,,,,,,23,
555.84782,clCreateBuffer|General,END,,,,,,,,,,,23,
555.87345,clCreateBuffer|General,START,,,,,,,,,,,24,
556.41638,clCreateBuffer|General,END,,,,,,,,,,,24,
556.44311,clCreateBuffer|General,START,,,,,,,,,,,25,
557.03478,clCreateBuffer|General,END,,,,,,,,,,,25,
557.0612,clCreateBuffer|General,START,,,,,,,,,,,26,
557.50062,clCreateBuffer|General,END,,,,,,,,,,,26,
557.52614,clCreateBuffer|General,START,,,,,,,,,,,27,
558.40075,clCreateBuffer|General,END,,,,,,,,,,,27,
558.44364,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,28,
559.16113,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,28,
559.19218,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,29,
559.25883,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,29,
559.28653,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,30,
559.34873,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,30,
559.37597,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,31,
559.43577,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,31,
559.4632,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,32,
559.5209,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,32,
559.54746,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,33,
559.60343,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,33,
559.62937,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,34,
559.6847,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,34,
559.71074,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,35,
559.76582,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,35,
559.79197,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,36,
559.84797,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,36,
559.87412,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,37,
559.92887,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,37,
559.95505,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,38,
560.00993,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,38,
560.03617,clEnqueueMapBuffer|187650709637808,START,,,,,,,,,,,39,
560.09062,clEnqueueMapBuffer|187650709637808,END,,,,,,,,,,,39,
601.02325,clSetKernelArg|General,START,,,,,,,,,,,40,
601.28969,clSetKernelArg|General,END,,,,,,,,,,,40,
601.31952,clSetKernelArg|General,START,,,,,,,,,,,41,
601.3484,clSetKernelArg|General,END,,,,,,,,,,,41,
601.36952,clSetKernelArg|General,START,,,,,,,,,,,42,
601.39495,clSetKernelArg|General,END,,,,,,,,,,,42,
601.4237,clRetainMemObject|General,START,,,,,,,,,,,43,
601.45516,clRetainMemObject|General,END,,,,,,,,,,,43,
601.47635,clRetainMemObject|General,START,,,,,,,,,,,44,
601.49878,clRetainMemObject|General,END,,,,,,,,,,,44,
601.51947,clRetainMemObject|General,START,,,,,,,,,,,45,
601.54139,clRetainMemObject|General,END,,,,,,,,,,,45,
601.56244,clRetainMemObject|General,START,,,,,,,,,,,46,
601.58373,clRetainMemObject|General,END,,,,,,,,,,,46,
601.612,clEnqueueMigrateMemObjects|187650709637808,START,,,,,,,,,,,47,
601.77629,WRITE_BUFFER,QUEUE,0X60100000|HPC0,1064960,,,,,,,,,
601.84483,WRITE_BUFFER,SUBMIT,0X60100000|HPC0,1064960,,,,,,,,,
601.92879,clEnqueueMigrateMemObjects|187650709637808,END,,,,,,,,,,,47,
601.98003,clReleaseMemObject|General,START,,,,,,,,,,,48,
602.05171,clReleaseMemObject|General,END,,,,,,,,,,,48,
602.07402,clReleaseMemObject|General,START,,,,,,,,,,,49,
