Timeline Trace
Generated on: 2021-04-28 08:55:37
Msec since Epoch: 1619600137661
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
126.8378,clGetPlatformIDs|General,START,,,,,,,,,,,0,
127.00602,clGetPlatformIDs|General,END,,,,,,,,,,,0,
127.03633,clGetPlatformIDs|General,START,,,,,,,,,,,1,
127.06079,clGetPlatformIDs|General,END,,,,,,,,,,,1,
127.09384,clGetPlatformInfo|General,START,,,,,,,,,,,2,
127.12074,clGetPlatformInfo|General,END,,,,,,,,,,,2,
127.15195,clGetPlatformInfo|General,START,,,,,,,,,,,3,
127.17501,clGetPlatformInfo|General,END,,,,,,,,,,,3,
127.31458,clGetDeviceIDs|General,START,,,,,,,,,,,4,
127.34746,clGetDeviceIDs|General,END,,,,,,,,,,,4,
127.36893,clGetDeviceIDs|General,START,,,,,,,,,,,5,
127.39031,clGetDeviceIDs|General,END,,,,,,,,,,,5,
127.41651,clRetainDevice|General,START,,,,,,,,,,,6,
127.43978,clRetainDevice|General,END,,,,,,,,,,,6,
127.46057,clRetainDevice|General,START,,,,,,,,,,,7,
127.48127,clRetainDevice|General,END,,,,,,,,,,,7,
127.50672,clCreateContext|General,START,,,,,,,,,,,8,
139.61309,clCreateContext|General,END,,,,,,,,,,,8,
413.5901,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
526.21779,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
526.33242,clCreateCommandQueue|General,START,,,,,,,,,,,10,
526.38741,clCreateCommandQueue|General,END,,,,,,,,,,,10,
526.40999,clCreateCommandQueue|General,START,,,,,,,,,,,11,
526.43646,clCreateCommandQueue|General,END,,,,,,,,,,,11,
526.45831,clCreateCommandQueue|General,START,,,,,,,,,,,12,
526.48305,clCreateCommandQueue|General,END,,,,,,,,,,,12,
526.50501,clCreateCommandQueue|General,START,,,,,,,,,,,13,
526.5286,clCreateCommandQueue|General,END,,,,,,,,,,,13,
526.57953,clCreateKernel|General,START,,,,,,,,,,,14,
530.43877,clCreateKernel|General,END,,,,,,,,,,,14,
530.47593,clCreateBuffer|General,START,,,,,,,,,,,15,
541.43258,clCreateBuffer|General,END,,,,,,,,,,,15,
541.46601,clCreateBuffer|General,START,,,,,,,,,,,16,
541.78362,clCreateBuffer|General,END,,,,,,,,,,,16,
541.81053,clCreateBuffer|General,START,,,,,,,,,,,17,
542.05665,clCreateBuffer|General,END,,,,,,,,,,,17,
542.08204,clCreateBuffer|General,START,,,,,,,,,,,18,
542.33205,clCreateBuffer|General,END,,,,,,,,,,,18,
542.35801,clCreateBuffer|General,START,,,,,,,,,,,19,
542.65385,clCreateBuffer|General,END,,,,,,,,,,,19,
542.67979,clCreateBuffer|General,START,,,,,,,,,,,20,
542.91834,clCreateBuffer|General,END,,,,,,,,,,,20,
542.94407,clCreateBuffer|General,START,,,,,,,,,,,21,
543.18909,clCreateBuffer|General,END,,,,,,,,,,,21,
543.21465,clCreateBuffer|General,START,,,,,,,,,,,22,
543.44046,clCreateBuffer|General,END,,,,,,,,,,,22,
543.47679,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,23,
544.16304,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,23,
544.20003,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,24,
544.26595,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,24,
544.29312,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,25,
544.35107,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,25,
544.37768,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,26,
544.43524,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,26,
544.46166,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,27,
544.52411,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,27,
544.5509,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,28,
544.60579,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,28,
544.63178,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,29,
544.68626,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,29,
544.71226,clEnqueueMapBuffer|187651284089664,START,,,,,,,,,,,30,
544.76529,clEnqueueMapBuffer|187651284089664,END,,,,,,,,,,,30,
5856.52896,clSetKernelArg|General,START,,,,,,,,,,,31,
5856.75318,clSetKernelArg|General,END,,,,,,,,,,,31,
5856.78128,clSetKernelArg|General,START,,,,,,,,,,,32,
5856.80846,clSetKernelArg|General,END,,,,,,,,,,,32,
5856.83569,clRetainMemObject|General,START,,,,,,,,,,,33,
5856.86684,clRetainMemObject|General,END,,,,,,,,,,,33,
5856.88837,clRetainMemObject|General,START,,,,,,,,,,,34,
5856.91106,clRetainMemObject|General,END,,,,,,,,,,,34,
5856.93768,clEnqueueMigrateMemObjects|187651284089664,START,,,,,,,,,,,35,
5857.09698,WRITE_BUFFER,QUEUE,0X5fc80000|HP0,129600,,,,,,,,,
5857.15842,WRITE_BUFFER,SUBMIT,0X5fc80000|HP0,129600,,,,,,,,,
5857.23,clEnqueueMigrateMemObjects|187651284089664,END,,,,,,,,,,,35,
5857.26341,clReleaseMemObject|General,START,,,,,,,,,,,36,
5857.29072,clReleaseMemObject|General,END,,,,,,,,,,,36,
5857.31261,clReleaseMemObject|General,START,,,,,,,,,,,37,
5857.33515,clReleaseMemObject|General,END,,,,,,,,,,,37,
5857.34354,WRITE_BUFFER,START,0X5fc80000|HP0|0Xffff7e553170,129600,,,,,,,8,None,
5857.39685,clRetainEvent|General,START,,,,,,,,,,,38,
5857.61512,clRetainEvent|General,END,,,,,,,,,,,38,
5857.63758,clRetainEvent|General,START,,,,,,,,,,,39,
5857.65906,clRetainEvent|General,END,,,,,,,,,,,39,
5857.67987,WRITE_BUFFER,END,0X5fc80000|HP0|0Xffff7e553170,129600,,,,,,,8,None,
5857.7292,clEnqueueTask|187651284089664,START,,,,,,,,,,,40,
5857.79859,DEPENDENCY_EVENT,,8,9,
5857.85815,DEPENDENCY_EVENT,,9,10,
5858.05858,KERNEL|edge-0|Filter_HW|Filter_HW|1:1:1|all,QUEUE,0XAAAAF8223670,1,,,,,,,,,
5858.13509,KERNEL|edge-0|Filter_HW|Filter_HW|1:1:1|all,SUBMIT,0XAAAAF8223670,1,,,,,,,,,
5858.16834,KERNEL|edge-0|Filter_HW|Filter_HW|1:1:1|all,START,0XAAAAF8223670,1,,,,,,,10,None,
5858.43243,clEnqueueTask|187651284089664,END,,,,,,,,,,,40,
5858.46367,clRetainEvent|General,START,,,,,,,,,,,41,
5858.48639,clRetainEvent|General,END,,,,,,,,,,,41,
5858.50721,clSetKernelArg|General,START,,,,,,,,,,,42,
5858.53138,clSetKernelArg|General,END,,,,,,,,,,,42,
5858.62691,clSetKernelArg|General,START,,,,,,,,,,,43,
5858.6519,clSetKernelArg|General,END,,,,,,,,,,,43,
5858.67223,clRetainMemObject|General,START,,,,,,,,,,,44,
5858.69546,clRetainMemObject|General,END,,,,,,,,,,,44,
5858.7166,clRetainMemObject|General,START,,,,,,,,,,,45,
5858.738,clRetainMemObject|General,END,,,,,,,,,,,45,
5858.75954,clEnqueueMigrateMemObjects|187651284152128,START,,,,,,,,,,,46,
5858.78765,DEPENDENCY_EVENT,,8,11,
5858.82807,WRITE_BUFFER,QUEUE,0X5fcc0000|HP0,129600,,,,,,,,,
5858.85604,WRITE_BUFFER,SUBMIT,0X5fcc0000|HP0,129600,,,,,,,,,
5858.89011,clEnqueueMigrateMemObjects|187651284152128,END,,,,,,,,,,,46,
5858.91525,clReleaseMemObject|General,START,,,,,,,,,,,47,
5858.93984,clReleaseMemObject|General,END,,,,,,,,,,,47,
5858.94195,WRITE_BUFFER,START,0X5fcc0000|HP0|0Xffff7d551170,129600,,,,,,,11,None,
5858.96368,clReleaseMemObject|General,START,,,,,,,,,,,48,
5859.06838,clReleaseMemObject|General,END,,,,,,,,,,,48,
5859.09086,clRetainEvent|General,START,,,,,,,,,,,49,
5859.08381,WRITE_BUFFER,END,0X5fcc0000|HP0|0Xffff7d551170,129600,,,,,,,11,None,
5859.11511,clRetainEvent|General,END,,,,,,,,,,,49,
5859.18452,clRetainEvent|General,START,,,,,,,,,,,50,
5859.20694,clRetainEvent|General,END,,,,,,,,,,,50,
5859.22723,clRetainMemObject|General,START,,,,,,,,,,,51,
5859.25093,clRetainMemObject|General,END,,,,,,,,,,,51,
